turn,player,budget,exra_turn,action
1,1,85,false,1
1,1,45,false,6
1,1,25,false,7a
1,2,85,false,1
1,2,45,false,6
1,2,25,false,7a
1,3,80,false,3
1,3,40,false,4
1,4,90,false,1
1,4,50,false,7b
2,1,80,false,4
2,1,40,false,5b
2,2,85,false,5b
2,2,50,false,7b
2,3,85,false,5b
2,3,50,false,9
2,4,85,false,8b
2,4,45,false,5b
2,4,25,true,6
3,2,80,false,7a
3,2,55,false,8a
3,2,35,false,5b
3,4,100,false,7b
3,4,50,false,5b
3,1,80,false,3
3,1,40,false,5a
3,1,20,false,8a
3,3,85,false,1
3,3,45,false,7a
3,3,20,false,8a
4,4,85,false,2a:(P1%70;P2%60;P3%50;P4%60)
4,4,25,false,7a
4,3,40,false,5a
4,3,20,false,6
4,2,25,true,7a
5,2,70,false,2b
5,2,60,false,4
5,2,20,false,6
5,3,80,false,1
5,3,40,false,6
5,3,20,false,5a
5,1,85,false,8b
5,1,45,false,2b
5,1,35,false,6
5,4,85,false,7b
5,4,35,false,5b
6,3,85,false,9
6,3,45,false,6
6,3,25,false,8a
6,4,85,false,6
6,4,65,false,8b
6,4,25,false,2b
6,2,70,false,1
6,2,30,false,2b
6,2,20,false,6
6,1,90,false,9
6,1,50,false,1
6,2,30,true,7a
7,3,90,false,7a
7,3,65,false,5b
7,3,30,false,2b
7,2,75,false,3
7,2,35,false,6
7,2,15,false,2b
7,1,80,false,7a
7,1,55,false,5b
7,1,20,false,6
7,4,90,false,6
7,4,70,false,7a
7,4,45,false,1
7,3,30,true,6
8,4,80,false,1
8,4,40,false,8b
8,3,90,false,6
8,3,70,false,5a
8,3,50,false,7b
8,2,85,false,1
8,2,45,false,6
8,2,25,false,7a
8,1,80,false,2b
8,1,70,false,7b
8,1,20,false,8a
9,3,80,false,6
9,3,60,false,1
9,3,20,false,8a
9,2,80,false,6
9,2,60,false,1
9,2,20,false,8a
9,1,85,false,1
9,1,45,false,6
9,1,25,false,7a
9,4,85,false,5b
9,4,50,false,7b
10,1,80,false,7b
10,1,30,false,8a
10,1,10,false,2b
10,4,85,false,7a
10,4,60,false,4
10,4,20,false,8a
10,3,90,false,5b
10,3,55,false,6
10,3,35,false,7a
10,3,10,false,2b
10,2,90,false,1
10,2,50,false,2b
10,2,40,false,6
10,2,20,false,8a
11,3,85,false,5b
11,3,50,false,7b
11,4,80,false,1
11,4,40,false,3
11,1,80,false,5b
11,1,45,false,1
11,2,85,false,1
11,2,45,false,6
11,2,25,false,7a
12,2,80,false,1
12,2,40,false,6
12,2,20,false,8a
12,1,80,false,7b
12,1,30,false,2b
12,1,20,false,8a
12,4,80,false,2b
12,4,70,false,6
12,4,50,false,7b
12,3,80,false,1
12,3,40,false,6
12,3,20,false,5a
