turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3325.2071081229515,139679.3245943683,130132.98503338142,366
1,1,735.7949204942091,36596.2165301133,46449.711795784846,366
1,2,748.9456065457462,37204.11657392857,25466.28857031318,366
1,3,823.6739910673635,46551.800746392364,35682.728883920514,366
1,4,1016.7925900156325,19327.190743934072,22534.255783362878,366
2,0,2355.046037475869,176526.89693163167,136013.651346895,367
2,1,546.9487534468416,51973.72301443914,51067.73154057713,367
2,2,594.8242274858004,35756.286723116296,25537.655377411083,367
2,3,582.086780095569,62071.71234246026,36018.063303397066,367
2,4,631.1862764476582,26725.174851615975,23390.201125509717,367
3,0,3440.374473559383,162956.80665405944,156026.3188561333,532
3,1,672.0428524236352,57696.31297323725,60572.684680342194,532
3,2,1111.862379349053,20048.44118889911,28841.55772533573,532
3,3,593.0591021759302,60022.435927630344,40769.55457389323,532
3,4,1063.4101396107649,25189.61656429275,25842.521876562143,532
4,0,3893.409739797027,167769.39613138768,170425.8665603333,596
4,1,954.0185259323654,50936.10454572328,67166.69929350457,596
4,2,1038.7219789355258,27119.79262674949,29420.092978808578,596
4,3,848.2598127770725,69576.78185562263,46472.73774335525,596
4,4,1052.4094221520636,20136.717103292285,27366.336544664886,596
5,0,2623.7194784269245,167514.0674245405,161044.91688565974,597
5,1,717.6854184109408,53562.747965947856,64093.25887446072,597
5,2,739.5488664893376,27916.213282509052,24880.695973926446,597
5,3,450.0672430036275,67470.45652106375,44516.55381675513,597
5,4,716.4179505230187,18564.649655019835,27554.40822051745,597
6,0,3013.8253012326786,192980.74750618511,174170.40959356,597
6,1,642.7613995785408,62137.75827703691,69102.36893506478,597
6,2,771.2697243061508,34357.63547158383,27441.10054470514,597
6,3,609.7855384842026,75617.50715164738,48445.38100921441,597
6,4,990.0086388637843,20867.846605917006,29181.55910457568,597
7,0,3350.353601793125,189980.99986500005,128062.48822199476,692
7,1,722.8096845118677,58713.73994613141,47732.0962249238,692
7,2,810.7232244475534,29399.5256614939,20504.65112043344,692
7,3,940.8917283950083,77371.91563519214,37843.19664411181,692
7,4,875.9289644386959,24495.818622182618,21982.54423252572,692
8,0,3564.146274094348,136503.7627182521,186973.04251827623,826
8,1,782.0686624597578,47363.93052244726,72751.88228655286,826
8,2,890.9938831539163,23302.519766243364,28354.428872659562,826
8,3,778.32305251435,44697.02353737064,53183.89485461957,826
8,4,1112.7606759663238,21140.288892190845,32682.83650444421,826
9,0,3167.978518498224,131208.73636643862,174408.61884984263,1102
9,1,945.2846235661632,50235.61783339713,67012.3371794109,1102
9,2,723.240214946225,22626.399637018047,26550.742248278144,1102
9,3,713.043954309917,39274.99516996634,51574.03559802553,1102
9,4,786.4097256759189,19071.723726057113,29271.50382412807,1102
10,0,3829.957122159684,116086.15056001382,132454.33191702375,1468
10,1,958.8058014011118,43097.28808235207,50962.670985468525,1468
10,2,1217.8357782492858,15997.867743562638,23630.904108579856,1468
10,3,1046.4017536136957,35530.402837885966,37721.112613553545,1468
10,4,606.9137888955906,21460.59189621314,20139.644209421815,1468
