turn,player,budget,exra_turn,action
1,2,85,false,5b
1,2,50,false,7a
1,2,25,false,8a
1,1,85,false,1
1,1,45,false,6
1,1,25,false,7a
1,3,80,false,1
1,3,40,false,4
1,4,90,false,8a
1,4,70,false,4
1,4,30,false,7a
2,4,90,false,3
2,4,50,false,7b
2,1,80,false,4
2,1,40,false,1
2,3,85,false,8a
2,3,65,false,7a
2,3,40,false,9
2,2,80,false,6
2,2,60,false,5a
2,2,40,false,3
3,1,85,false,5b
3,1,50,false,6
3,1,30,false,7a
3,4,85,false,9
3,4,45,false,8b
3,3,75,false,7b
3,3,25,false,5a
3,2,75,false,5b
3,2,40,false,4
4,4,85,false,2a:(P1%75;P2%55;P3%55;P4%55)
4,4,30,false,7a
4,3,25,false,7a
4,2,20,false,6
5,3,70,false,2b
5,3,60,false,6
5,3,40,false,3
5,4,80,false,2b
5,4,70,false,8b
5,4,30,false,7a
5,1,75,false,2b
5,1,65,false,1
5,1,25,false,7a
5,2,85,false,7a
5,2,60,false,6
5,2,40,false,9
6,4,90,false,7b
6,4,40,false,1
6,1,85,false,9
6,1,45,false,8a
6,1,25,false,7a
6,3,80,false,7a
6,3,55,false,6
6,3,35,false,5b
6,2,75,false,9
6,2,35,false,6
6,1,15,true,2b
7,3,75,false,7a
7,3,50,false,2b
7,3,40,false,8b
7,2,80,false,7a
7,2,55,false,5b
7,2,20,false,6
7,1,75,false,1
7,1,35,false,5b
7,4,85,false,7a
7,4,60,false,8a
7,4,40,false,9
8,4,80,false,5b
8,4,45,false,8b
8,1,80,false,6
8,1,60,false,8a
8,1,40,false,1
8,3,90,false,9
8,3,50,false,6
8,3,30,false,7a
8,2,85,false,9
8,2,45,false,7a
8,2,20,false,5a
8,1,10,true,2b
9,3,80,false,5b
9,3,45,false,9
9,4,90,false,1
9,4,50,false,9
9,1,80,false,3
9,1,40,false,1
9,2,80,false,9
9,2,40,false,6
9,2,20,false,8a
9,3,15,true,2b
10,1,80,false,6
10,1,60,false,1
10,1,20,false,8a
10,2,80,false,6
10,2,60,false,8b
10,2,20,false,5a
10,4,80,false,9
10,4,40,false,8b
10,3,85,false,6
10,3,65,false,7a
10,3,40,false,8b
11,2,95,false,9
11,2,55,false,8a
11,2,35,false,5b
11,1,85,false,9
11,1,45,false,6
11,1,25,false,7a
11,4,90,false,8b
11,4,50,false,7b
11,3,95,false,9
11,3,55,false,5b
11,3,20,false,8a
12,1,75,false,1
12,1,35,false,7a
12,1,10,false,2b
12,3,75,false,9
12,3,35,false,5b
12,2,85,false,6
12,2,65,false,7a
12,2,40,false,9
12,4,90,false,2b
12,4,80,false,8b
12,4,40,false,5b
