turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3356.384379621987,151028.56996829683,118322.63222288882,366
1,1,732.5903606652743,41181.37244385515,41698.90022102271,366
1,2,748.5792431212292,38576.98556420405,23083.49414155385,366
1,3,833.5906278443549,50550.64953931156,32945.884547756825,366
1,4,1041.6241479911284,20719.56242092606,20594.35331255543,366
2,0,3625.2680321955145,216749.02326150367,150515.8737695302,583
2,1,616.4830900002302,63689.33708333295,52282.09269026514,583
2,2,805.7697953341556,54255.31425840946,29625.20758114243,583
2,3,702.4211987092656,77126.11419486135,40706.32338741655,583
2,4,1500.593948151863,21678.25772489992,27902.250110706093,583
3,0,2187.347581630108,306276.84139734035,163780.37270723344,583
3,1,422.77830791504556,89060.27067899177,61552.19397560516,583
3,2,540.0542952588929,73719.46668384699,29176.55538516275,583
3,3,414.49242612438763,104503.34488475637,45504.735471351996,583
3,4,810.0225523317815,38993.75914974522,27546.88787511355,583
4,0,2474.281886692309,337130.34049382707,129063.60875326525,583
4,1,433.94301319143074,102188.4519729318,45271.53544182138,583
4,2,996.9760606462937,66979.30527062288,28899.287763760127,583
4,3,375.8797027549151,114950.73679684706,36141.03923339394,583
4,4,667.4831100996696,53011.84645342532,18751.746314289787,583
5,0,2442.5529471957743,358344.17543526477,63563.48351096416,583
5,1,366.3748927440039,112706.84609082842,19847.85233608753,583
5,2,672.778400013728,65146.088978919084,13503.068973015237,583
5,3,446.134533349044,120436.88982612692,18203.508555700188,583
5,4,957.2651210889985,60054.35053939036,12009.053646161205,583
6,0,1722.7001958241515,368182.2563527449,58294.759557911006,583
6,1,468.01289195785427,125224.16653056379,20243.469337986822,583
6,2,698.0082617024855,61890.984360662216,13740.405103518937,583
6,3,273.05062896747967,124422.42965842894,16476.901473844595,583
6,4,283.6284131963321,56644.67580308991,7833.9836425606445,583
7,0,3512.110597418037,342196.4844031459,73298.98375555921,583
7,1,351.22133179991573,113519.10359268526,18831.180629538187,583
7,2,1364.870842938402,61926.25799269715,19457.799225233088,583
7,3,833.7025614001649,105536.31739364704,24098.270214060783,583
7,4,962.3158612795542,61214.805424116435,10911.733686727153,583
8,0,3069.7008519333817,256122.71643834183,66818.4131579102,583
8,1,313.65964642067763,85722.86137010096,18653.327557658235,583
8,2,1055.8604694128087,47424.017466324745,17158.80832365764,583
8,3,726.4092160474327,80762.07269452568,20441.165537225716,583
8,4,973.771520052463,42213.76490739045,10565.111739368604,583
