turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,2321.56133430345,201131.65550705942,89650.72551543344,366
1,1,531.8885938811314,56372.369974845176,30897.703901055516,366
1,2,458.8933116956609,49867.012642472546,18380.849198432556,366
1,3,545.9203486293102,64247.63327107142,25256.395677312878,366
1,4,784.8590800973479,30644.639618670277,15115.776738632494,366
2,0,1416.6684766461713,350019.93324550503,120713.32542291778,384
2,1,302.4471770593952,99506.36294656011,41210.30890877623,384
2,2,186.08706275896841,85465.76659018066,22773.32814148618,384
2,3,315.22972756284395,109027.4987114851,35035.65572507058,384
2,4,612.9045092649636,56020.30499727912,21694.032647584794,384
3,0,1431.384436780048,424281.18343222927,57418.13724760084,384
3,1,305.47190507438876,126392.93161335535,16132.421804187376,384
3,2,277.06753263883115,110317.39389171073,16679.294360010063,384
3,3,276.50436440783614,127534.1553291242,15725.525181857369,384
3,4,572.3406346589917,60036.702598039,8880.895901546039,384
4,0,1235.6040609257102,483561.4479646643,38501.6398531868,384
4,1,242.34527671399672,154833.66026742163,12528.704084055216,384
4,2,105.55857705237516,121077.12700477071,8304.503949332284,384
4,3,297.3003251156095,150082.13913295965,11125.275860665359,384
4,4,590.3998820437288,57568.521559512345,6543.155959133947,384
5,0,2023.9827529048798,341711.07274609536,53690.4170771406,384
5,1,354.0048539341739,108967.5104388282,16161.550338073366,384
5,2,453.97957859783276,88081.35916818366,11752.415974366922,384
5,3,504.66486672524326,109135.8813489976,17181.683589638313,384
5,4,711.3334536476301,35526.32179008592,8594.767175062,384
6,0,2618.549156653639,250676.38610990817,127050.79493876596,384
6,1,283.5771845087986,95277.84433698602,44464.45717427654,384
6,2,895.5430311043742,55367.81720612899,29908.320499108013,384
6,3,709.0382866777576,81371.21270705799,39238.8505398296,384
6,4,730.3906543627086,18659.51185973519,13439.166725551817,384
