turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3317.8465186653466,140207.66324694455,131605.97230921604,366
1,1,736.5999810926871,36940.82413603633,47230.656253490735,366
1,2,740.4030472999947,37296.48924774445,25897.26588750309,366
1,3,821.9785354143623,46591.48971854249,35802.378509133596,366
1,4,1018.8649548583028,19378.860144621285,22675.67165908863,366
2,0,2678.182959559113,193135.3530233387,161162.98276367947,501
2,1,834.1353514838603,53166.405303583655,59704.83431306915,501
2,2,493.7710943759072,46840.493293228225,29056.238843515763,501
2,3,596.3859114267897,65816.66543854013,45307.46921858433,501
2,4,753.890602272556,27311.78898798667,27094.440388510233,501
3,0,2901.5838925227126,226587.00697715208,167121.4321132915,515
3,1,607.2528494384535,63172.50634880887,63230.544372676,515
3,2,687.134449142175,62211.138464047704,33930.59448890931,515
3,3,444.92296259267084,81123.50629580885,43572.44427501221,515
3,4,1162.273631349413,20079.855868486662,26387.84897669397,515
4,0,2310.11744789747,266805.25348836475,172258.27166958537,515
4,1,729.3980492829667,63559.335171227074,68306.75565412619,515
4,2,362.24012137124737,75466.1775125696,30534.22261367171,515
4,3,324.38305917177655,98650.75317237945,45484.159569691146,515
4,4,894.0962180714794,29128.98763218864,27933.13383209634,515
5,0,2653.42013279925,274212.0299998875,128982.78190657808,515
5,1,658.985987629039,69321.08836672716,49969.59842625831,515
5,2,338.64761865761363,79279.33501609338,23006.977495780735,515
5,3,646.9848149165276,102539.18013353218,35757.54513383795,515
5,4,1008.8017115960698,23072.4264835348,20248.660850701086,515
6,0,2557.807665094956,243570.6476752727,116782.58146398774,515
6,1,735.846728362056,53553.35896301146,43878.57461633467,515
6,2,528.4523345587378,66711.07857679993,24639.661523105726,515
6,3,388.40403887536536,97867.24301571565,30540.87252923238,515
6,4,905.104563298797,25438.967119745656,17723.47279531496,515
7,0,2788.0544171970996,204589.29222715908,117789.84997636908,515
7,1,781.4310338378497,51649.641646587224,46768.43664328075,515
7,2,632.9810492834631,52667.11864596274,25567.417539227423,515
7,3,674.4049865342894,74158.31958025662,32326.281699086983,515
7,4,699.2373475414977,26114.21235435249,13127.714094773915,515
8,0,3074.396021397419,145944.32791728992,130375.48779828018,599
8,1,787.7220673505259,43705.3083358299,52360.533929584075,599
8,2,616.7744171105747,37276.16897203955,16519.492107996604,599
8,3,812.4396338878496,42152.743015424545,34801.83502493328,599
8,4,857.4599030484691,22810.10759399593,26693.626735766225,599
9,0,3844.5610919207897,126752.28962197041,140729.8532270606,965
9,1,763.9691800653158,41937.04818344326,52555.29637049344,965
9,2,1470.446105864805,30633.316658716758,21456.099991248928,965
9,3,911.1709991913588,33075.86689006588,37949.09254388244,965
9,4,698.97480679931,21106.05788974451,28769.364321435798,965
10,0,3210.079117010553,99047.88283570469,137699.5943397837,1331
10,1,779.120576423993,32066.876456245875,53429.389128932904,1331
10,2,615.1559757012159,21127.01336147425,17517.151324416533,1331
10,3,717.7636585622121,27098.327757634495,37169.21127969136,1331
10,4,1098.0389063231316,18755.66526035007,29583.84260674292,1331
